In-Tok,Out-Tok,RPS,TTFT,Prefill,L_TTFT,L_P95_TTFT,L_P98_TTFT,ITL,E2E,MaxRun,Max Kvcache,Mean PPS,Mean GPS,,Demand-T,Supply,Mrate, OTS ,OTS-D,S/D
5000,100,2.0,0.163,0.147,0.665,0.871,0.939,0.010,1.151,7,0.09,12528,234,,10200,392777.8," 343,096.8 ", 701.2 ,200, 38.51 
5000,200,2.0,0.165,0.143,0.671,0.836,0.878,0.010,2.072,10,0.13,10924,405,,10400,392307.7," 186,056.9 "," 1,017.8 ",400, 37.72 
5000,300,2.0,0.173,0.156,0.663,0.827,0.854,0.012,3.759,18,0.25,13457,720,,10600,370800.0," 96,518.9 "," 1,465.0 ",600, 34.98 
5000,400,2.0,0.169,0.149,1.499,6.591,8.749,0.012,4.936,16,0.22,11719,879,,10800,378181.8," 77,034.0 "," 1,344.3 ",800, 35.02 
5000,500,2.0,0.167,0.151,0.803,1.331,1.519,0.014,7.182,25,0.35,12787,1200,,11000,375000.0," 51,946.4 "," 1,768.6 ",1000, 34.09 
5000,600,2.0,0.176,0.155,0.807,1.167,1.206,0.014,8.792,26,0.36,11722,1260,,11200,382777.8," 43,271.3 "," 1,795.0 ",1200, 34.18 
5000,700,2.0,0.172,0.155,1.234,3.623,3.800,0.016,11.090,45,0.60,11993,1553,,11400,401250.0," 35,924.6 "," 2,860.0 ",1400, 35.20 
5000,800,2.0,0.248,0.149,2.112,8.607,9.464,0.016,12.531,45,0.60,12291,1738,,11600,405000.0," 30,905.3 "," 2,778.8 ",1600, 34.91 
5000,900,2.0,0.182,0.214,0.834,1.213,1.541,0.018,16.762,45,0.60,11035,1841,,11800,408750.0," 24,240.0 "," 2,432.6 ",1800, 34.64 
5000,1000,2.0,0.186,0.164,0.838,1.317,1.499,0.019,19.400,51,0.70,10422,1927,,12000,400714.3," 20,471.2 "," 2,627.4 ",2000, 33.39 
5000,1100,2.0,0.189,0.172,1.042,2.192,2.299,0.021,23.159,50,0.70,10901,2234,,12200,396428.6," 17,401.5 "," 2,432.7 ",2200, 32.49 
5000,1200,2.0,0.219,0.190,1.661,7.840,9.195,0.020,24.184,58,0.80,10120,2243,,12400,406000.0," 16,634.3 "," 2,874.0 ",2400, 32.74 
5000,1300,2.0,0.184,0.163,1.086,2.900,3.623,0.021,27.416,58,0.81,9293,2267,,12600,404567.9," 14,498.9 "," 2,718.1 ",2600, 32.11 
5000,1400,2.0,0.460,0.177,1.830,6.193,6.522,0.025,35.469,67,0.98,9710,2489,,12800,389693.9," 11,283.5 "," 2,730.0 ",2800, 30.44 
5000,1500,2.0,3.673,0.199,3.183,9.391,9.547,0.026,41.546,69,1.00,9218,2573,,13000,396750.0," 9,951.6 "," 2,609.1 ",3000, 30.52 
5000,1600,2.0,5.932,0.197,4.759,16.468,16.866,0.026,47.366,68,1.00,9008,2683,,13200,394400.0," 9,467.9 "," 2,624.2 ",3200, 29.88 
5000,1700,2.0,0.643,0.176,1.355,5.025,5.536,0.023,40.292,66,0.98,7567,2400,,13400,393979.6," 10,017.0 "," 2,865.5 ",3400, 29.40 
5000,1800,2.0,2.217,0.181,1.553,3.458,9.653,0.024,45.021,68,1,8073,2651,,13600,401200.0," 9,182.9 "," 2,813.2 ",3600, 29.50 
5000,1700,2.0,3.125,0.199,1.880,8.335,9.256,0.025,45.070,68,1,6952,2200,,13400,397800.0," 9,497.0 "," 2,772.9 ",3400, 29.69 
5000,1800,2.0,1.506,0.203,0.907,3.147,4.018,0.024,43.921,67,0.98,7356,2485,,13600,403367.3," 9,420.6 "," 2,830.0 ",3600, 29.66 
,,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!
,,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!
1000,300,2.0,0.037,0.032,0.516,0.660,0.687,0.007,2.052,6,0.02,2441,682,,2600,345000.0," 167,592.1 ", 888.3 ,600, 132.69 
3000,300,2.0,0.093,0.083,0.578,0.706,0.743,0.008,2.550,11,0.09,7353,678,,6600,385000.0," 148,631.3 "," 1,316.0 ",600, 58.33 
5000,300,2.0,0.169,0.152,0.670,0.865,0.935,0.011,3.517,11,0.15,12726,699,,10600,377666.7," 105,917.6 ", 966.7 ,600, 35.63 
7000,300,2.0,0.301,0.249,0.830,1.194,1.341,0.014,4.318,14,0.26,15580,597,,14600,385000.0," 87,877.5 "," 1,016.5 ",600, 26.37 
9000,300,2.0,0.448,0.385,1.063,1.823,2.257,0.025,7.512,25,0.60,21700,616,,18600,381250.0," 48,717.3 "," 1,007.9 ",600, 20.50 
11000,300,2.0,2.209,0.608,2.844,6.060,6.500,0.049,16.480,34,0.99,23838,590,,22600,382929.3," 25,082.3 ", 695.8 ,600, 16.94 
,,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!
3000,300,2.0,0.089,0.081,0.583,0.659,0.700,0.008,2.521,12,0.10,,,,6600,385714.3," 150,878.2 "," 1,454.3 ",600, 58.44 
3000,300,3.0,0.102,0.092,0.602,0.708,0.828,0.009,2.840,15,0.12,,,,9900,393750.0," 135,944.8 "," 1,604.4 ",900, 39.77 
3000,300,4.0,0.110,0.094,0.602,0.710,0.737,0.011,3.506,22,0.18,,,,13200,396000.0," 111,986.1 "," 1,917.6 ",1200, 30.00 
3000,300,5.0,0.123,0.104,0.617,0.727,0.762,0.014,4.346,29,0.25,,,,16500,365400.0," 83,601.8 "," 2,038.9 ",1500, 22.15 
3000,300,6.0,0.160,0.128,0.675,0.942,1.028,0.020,6.049,48,0.39,,,,19800,387692.3," 62,633.9 "," 2,375.7 ",1800, 19.58 
3000,300,7.0,0.239,0.193,0.983,2.697,2.905,0.024,7.264,64,0.51,,,,23100,395294.1," 53,589.8 "," 2,672.8 ",2100, 17.11 
,,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!
5000,300,2.0,0.165,0.147,0.685,0.835,0.883,0.011,3.313,14,0.19,11857,646,,10600,389729.7," 115,631.5 "," 1,302.9 ",600, 36.77 
5000,300,3.0,0.209,0.174,0.949,2.539,2.918,0.015,4.517,26,0.36,17054,929,,15900,371944.4," 81,808.1 "," 1,784.0 ",900, 23.39 
5000,300,4.0,0.294,0.229,0.953,1.744,2.028,0.027,8.156,49,0.66,23315,1272,,21200,382348.5," 46,649.4 "," 1,845.1 ",1200, 18.04 
5000,300,5.0,2.379,1.339,4.457,9.440,10.373,0.043,14.908,75,1.00,36332,1927,,26500,386250.0," 27,032.5 "," 1,737.6 ",1500, 14.58 
5000,300,6.0,4.609,0.403,6.197,12.463,13.427,0.051,19.595,75,1.00,30715,1675,,31800,386250.0," 24,481.2 "," 1,463.4 ",1800, 12.15 
5000,300,7.0,7.251,1.178,10.664,20.032,20.673,0.047,21.194,75,1.00,39526,2186,,37100,386250.0," 25,057.6 "," 1,580.4 ",2100, 10.41 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
