test_name,IL,OL,data_points,rps_range,max_sustainable_rps,saturation_rps,estimated_ITL_at_80,estimated_Tprefill_at_80,itl_confidence,tprefill_confidence,regime_distribution,saturated_points
1-15K_300,1000.0,300.0,15,"(np.float64(2.0), np.float64(2.0))",2.0,,0.05347470093134361,0.9201410261699478,0.9980684797362839,0.9817931626803351,"{'scheduler-limited': 8, 'prefill-limited': 5, 'decode-limited': 2}",0
5K_100-2K,5000.0,100.0,18,"(np.float64(2.0), np.float64(2.0))",2.0,,0.027486943302786157,2.0807371788828246,0.9897399036492579,0.557980520392692,"{'scheduler-limited': 8, 'decode-limited': 6, 'prefill-limited': 4}",0
5K_500,5000.0,500.0,12,"(np.float64(2.0), np.float64(4.4))",4.4,,0.03758071736837525,0.782576563508568,0.9980383752522387,0.6095527046489373,"{'scheduler-limited': 6, 'decode-limited': 4, 'prefill-limited': 2}",0
5K_200,5000.0,200.0,24,"(np.float64(2.0), np.float64(6.8))",6.8,,0.06132469548539362,0.7412795359059352,0.9970600048353941,0.7409851941905943,"{'scheduler-limited': 20, 'prefill-limited': 4}",0
6K_100,6000.0,100.0,23,"(np.float64(2.0), np.float64(6.8))",5.2,5.4,0.10280676370621046,0.6817616152744096,0.9263428944471479,0.8872670884836573,"{'scheduler-limited': 17, 'prefill-limited': 6}",2
200_1K,200.0,1000.0,19,"(np.float64(2.0), np.float64(20.0))",20.0,,0.03350189677822725,1.207087838770297,0.9795718581661336,0.43878974023731354,"{'decode-limited': 17, 'scheduler-limited': 1, 'prefill-limited': 1}",0
4K_100,4000.0,100.0,12,"(np.float64(5.0), np.float64(10.0))",8.0,9.0,0.09488569434951627,0.7909284103590002,0.9916654604827994,0.9588951477341572,"{'scheduler-limited': 7, 'prefill-limited': 5}",1
400_400,400.0,400.0,11,"(np.float64(15.0), np.float64(40.0))",40.0,,0.04394169846456059,0.46338552613381734,0.996491635817803,0.5994871558208813,"{'decode-limited': 8, 'prefill-limited': 2, 'scheduler-limited': 1}",0
20_2-3K,20.0,1600.0,10,"(np.float64(5.0), np.float64(5.0))",5.0,,0.028779057284593776,4.932608369637877,0.9402033815300662,0.4627340005668378,"{'decode-limited': 6, 'scheduler-limited': 2, 'prefill-limited': 2}",0
5-8K_20,5000.0,20.0,7,"(np.float64(5.0), np.float64(5.0))",5.0,,0.4170790526474318,6.265468951193501,0.9994856674047295,0.8108445662364581,"{'scheduler-limited': 5, 'prefill-limited': 2}",0
5-8K_10,5000.0,10.0,7,"(np.float64(5.0), np.float64(5.0))",5.0,,0.8438524069773533,7.190406736692324,0.9992174851618666,0.7864845177658052,"{'scheduler-limited': 5, 'prefill-limited': 2}",0
1K_10,1000.0,10.0,8,"(np.float64(32.0), np.float64(46.0))",38.0,40.0,0.7446406672742575,3.41250441906262,0.9994126658377251,0.8547767646013295,"{'scheduler-limited': 7, 'prefill-limited': 1}",2
4K_20,4000.0,20.0,9,"(np.float64(2.0), np.float64(10.0))",8.0,9.0,0.40567842929879083,2.922821631455919,0.9995612602743718,0.9044631467774131,"{'prefill-limited': 5, 'scheduler-limited': 4}",2
